t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
11910.811,1.000,0.018,-0.000,0.002,57,89,87,45,47,7,75,21,0,0.000,0,0,24.322,1.297,-16.400,-17.960,-0.160,-0.037,-0.023,1.004,-0.388,1.238,0.014,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.109,0.003,-0.254,2.109,0.003,-0.254
11915.811,1.000,0.019,0.001,0.002,89,101,67,71,27,0,45,50,0,0.000,0,0,34.074,0.399,-10.780,-32.300,1.240,0.009,-0.023,1.079,-0.364,0.164,0.314,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.161,0.165,-0.241,2.161,0.165,-0.241
11920.811,1.000,0.020,0.003,0.002,53,75,97,49,41,3,87,20,0,0.000,0,0,53.002,0.175,-26.420,-45.920,1.600,0.017,-0.006,1.073,0.062,0.164,0.676,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.292,0.394,-0.224,2.292,0.394,-0.224
11925.811,1.000,0.021,0.006,0.002,52,63,99,37,59,15,73,42,0,0.000,0,0,68.121,0.188,-24.340,-63.500,3.980,0.044,-0.032,1.087,0.092,0.164,0.746,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.414,0.711,-0.191,2.414,0.711,-0.191
11930.811,1.000,0.023,0.010,0.001,56,72,91,43,33,0,73,39,0,0.000,0,0,91.667,0.326,-35.760,-83.700,10.880,0.097,-0.063,1.025,0.300,0.128,0.676,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.594,1.126,-0.119,2.594,1.126,-0.119
11935.811,1.000,0.024,0.014,0.000,57,91,57,7,35,0,33,25,0,0.000,0,0,115.003,0.767,-33.860,-106.940,25.360,0.127,-0.100,1.106,0.750,-0.162,0.828,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.767,1.655,0.033,2.767,1.655,0.033
11940.811,0.999,0.025,0.019,-0.002,73,60,60,61,27,0,45,41,0,0.000,0,0,120.957,0.767,-30.620,-111.760,34.680,0.101,-0.039,1.135,0.750,-0.162,1.074,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.927,2.204,0.234,2.927,2.204,0.234
11945.811,0.999,0.026,0.025,-0.003,73,103,61,51,43,0,37,21,0,0.000,0,0,132.826,0.581,-10.060,-128.380,32.560,0.088,-0.041,1.064,0.562,0.146,1.074,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.986,2.837,0.430,2.986,2.837,0.430
11950.811,0.999,0.025,0.031,-0.005,59,57,89,70,35,0,78,51,0,0.000,0,0,155.509,0.374,14.900,-151.500,31.760,0.054,-0.054,1.138,0.344,0.146,1.324,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.923,3.585,0.628,2.923,3.585,0.628
11955.813,0.999,0.024,0.039,-0.006,88,99,67,59,40,0,38,19,0,0.000,0,0,167.536,0.223,26.080,-163.520,25.480,0.035,-0.035,1.110,-0.168,0.146,1.048,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.804,4.396,0.796,2.804,4.396,0.796
